REAL-AMI-best
rope: 0
alg1	alg2	P(alg1)	P(rope)	P(alg2)
EAC-SL-Wr	STREHL-CSPA-Wr	0.00000	0.00000	1.00000
EAC-SL-Wr	DICLENS-Wr	0.00000	0.00000	1.00000
EAC-SL-Wr	EAC-SL-Wn	0.88238	0.00000	0.11762
EAC-SL-Wr	STREHL-CSPA-Wn	0.00000	0.00000	1.00000
EAC-SL-Wr	DICLENS-Wn	0.00000	0.00000	1.00000
EAC-SL-Wr	EAC-SL	1.00000	0.00000	0.00000
EAC-SL-Wr	STREHL-CSPA	0.00000	0.00000	1.00000
EAC-SL-Wr	DICLENS	0.00000	0.00000	1.00000
EAC-SL-Wr	STREHL-HGPA	0.00000	0.00000	1.00000
EAC-SL-Wr	JWEAC-SL	1.00000	0.00000	0.00000
EAC-SL-Wr	LCE-CTS-SL	0.99514	0.00000	0.00486
EAC-SL-Wr	STREHL-MCLA	0.00000	0.00000	1.00000
EAC-SL-Wr	PAC-SL	1.00000	0.00000	0.00000
EAC-SL-Wr	WEA-SL	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	DICLENS-Wr	0.99864	0.00000	0.00136
STREHL-CSPA-Wr	EAC-SL-Wn	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	STREHL-CSPA-Wn	0.99814	0.00000	0.00186
STREHL-CSPA-Wr	DICLENS-Wn	0.99872	0.00000	0.00128
STREHL-CSPA-Wr	EAC-SL	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	STREHL-CSPA	0.99998	0.00000	0.00002
STREHL-CSPA-Wr	DICLENS	0.99988	0.00000	0.00012
STREHL-CSPA-Wr	STREHL-HGPA	0.99278	0.00000	0.00722
STREHL-CSPA-Wr	JWEAC-SL	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	LCE-CTS-SL	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	STREHL-MCLA	0.99630	0.00000	0.00370
STREHL-CSPA-Wr	PAC-SL	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	WEA-SL	1.00000	0.00000	0.00000
DICLENS-Wr	EAC-SL-Wn	1.00000	0.00000	0.00000
DICLENS-Wr	STREHL-CSPA-Wn	0.00390	0.00000	0.99610
DICLENS-Wr	DICLENS-Wn	0.98534	0.00000	0.01466
DICLENS-Wr	EAC-SL	1.00000	0.00000	0.00000
DICLENS-Wr	STREHL-CSPA	0.00746	0.00000	0.99254
DICLENS-Wr	DICLENS	1.00000	0.00000	0.00000
DICLENS-Wr	STREHL-HGPA	0.00918	0.00000	0.99082
DICLENS-Wr	JWEAC-SL	1.00000	0.00000	0.00000
DICLENS-Wr	LCE-CTS-SL	1.00000	0.00000	0.00000
DICLENS-Wr	STREHL-MCLA	0.00802	0.00000	0.99198
DICLENS-Wr	PAC-SL	1.00000	0.00000	0.00000
